HDI Rank (2015),Country,1990,1995,2000,2005,2010,2015
144, Nepal,18.7,21.4,23.7,25.5,26.9,28.5
7, Netherlands,14.9,15.5,15.9,16.3,16.6,16.9
13, New Zealand,3.4,3.7,3.9,4.1,4.4,4.5
124, Nicaragua,4.1,4.6,5,5.4,5.7,6.1
187, Niger,7.9,9.4,11.2,13.5,16.3,19.9
152, Nigeria,95.6,108.4,122.9,139.6,159.4,182.2
1, Norway,4.2,4.4,4.5,4.6,4.9,5.2
52, Oman,1.8,2.2,2.2,2.5,2.9,4.5
147, Pakistan,107.6,122.6,138.3,153.4,170,188.9
60, Palau,0,0,0,0,0,0
114," Palestine, State of",2.1,2.6,3.2,3.6,4.1,4.7
60, Panama,2.5,2.7,3,3.3,3.6,3.9
154, Papua New Guinea,4.2,4.7,5.4,6.1,6.8,7.6
110, Paraguay,4.2,4.8,5.3,5.8,6.2,6.6
87, Peru,21.8,24,25.9,27.6,29.4,31.4
116, Philippines,61.9,69.8,77.9,86.1,93,100.7
36, Poland,38.2,38.6,38.5,38.5,38.6,38.6
41, Portugal,9.9,10.1,10.3,10.5,10.6,10.3
33, Qatar,0.5,0.5,0.6,0.8,1.8,2.2
50, Romania,23.5,23,22.1,21.4,20.3,19.5
49, Russian Federation,147.6,148.3,146.4,143.6,143.2,143.5
159, Rwanda,7.3,5.9,8,9,10.3,11.6
74, Saint Kitts and Nevis,0,0,0,0,0.1,0.1
92, Saint Lucia,0.1,0.1,0.2,0.2,0.2,0.2
99, Saint Vincent and the Grenadines,0.1,0.1,0.1,0.1,0.1,0.1
104, Samoa,0.2,0.2,0.2,0.2,0.2,0.2
0, San Marino,0,0,0,0,0,0
142, Sao Tome and Principe,0.1,0.1,0.1,0.2,0.2,0.2
38, Saudi Arabia,16.4,18.9,21.4,24.7,28.1,31.5
162, Senegal,7.5,8.7,9.9,11.3,13,15.1
66, Serbia,9.5,9.9,9.5,9.2,9.1,8.9
63, Seychelles,0.1,0.1,0.1,0.1,0.1,0.1
179, Sierra Leone,3.9,3.8,4.1,5.1,5.8,6.5
5, Singapore,3,3.5,3.9,4.5,5.1,5.6
40, Slovakia,5.3,5.4,5.4,5.4,5.4,5.4
25, Slovenia,2,2,2,2,2.1,2.1
156, Solomon Islands,0.3,0.4,0.4,0.5,0.5,0.6
0, Somalia,6.3,6.3,7.4,8.5,9.6,10.8
119, South Africa,36.8,41.4,44.9,48.4,51.6,54.5
181, South Sudan,5.8,5.5,6.7,8.1,10.1,12.3
27, Spain,39.2,39.8,40.8,43.9,46.6,46.1
73, Sri Lanka,17.3,18.2,18.8,19.5,20.2,20.7
165, Sudan,20,24.7,28.1,32,36.1,40.2
97, Suriname,0.4,0.4,0.5,0.5,0.5,0.5
148, Swaziland,0.9,1,1.1,1.1,1.2,1.3
14, Sweden,8.6,8.8,8.9,9,9.4,9.8
2, Switzerland,6.7,7,7.2,7.4,7.8,8.3
149, Syrian Arab Republic,12.5,14.3,16.4,18.1,20.7,18.5
129, Tajikistan,5.3,5.8,6.2,6.8,7.6,8.5
151, Tanzania (United Republic of),25.5,29.9,34,39.1,45.6,53.5
87, Thailand,56.6,59.3,62.7,65.9,66.7,68
82, The former Yugoslav Republic of Macedonia,2,2,2,2,2.1,2.1
133, Timor-Leste,0.7,0.9,0.8,1,1.1,1.2
166, Togo,3.8,4.3,4.9,5.6,6.4,7.3
101, Tonga,0.1,0.1,0.1,0.1,0.1,0.1
65, Trinidad and Tobago,1.2,1.3,1.3,1.3,1.3,1.4
97, Tunisia,8.2,9.1,9.7,10.1,10.6,11.3
71, Turkey,54,58.5,63.2,67.9,72.3,78.7
111, Turkmenistan,3.7,4.2,4.5,4.7,5,5.4
0, Tuvalu,0,0,0,0,0,0
163, Uganda,17.4,20.4,23.8,28,33.1,39
84, Ukraine,51.4,50.8,48.7,46.8,45.6,44.8
42, United Arab Emirates,1.8,2.4,3,4.5,8.3,9.2
16, United Kingdom,57.1,57.9,58.9,60.2,62.7,64.7
10, United States,252.8,266.3,282.9,296.1,309.9,321.8
54, Uruguay,3.1,3.2,3.3,3.3,3.4,3.4
105, Uzbekistan,20.5,22.7,24.5,25.9,27.7,29.9
134, Vanuatu,0.1,0.2,0.2,0.2,0.2,0.3
71, Venezuela (Bolivarian Republic of),19.9,22.2,24.5,26.8,29,31.1
115, Viet Nam,68.2,75.2,80.3,84.2,88.4,93.4
168, Yemen,12,15.3,17.8,20.5,23.6,26.8
139, Zambia,8.1,9.3,10.6,12,13.9,16.2
154, Zimbabwe,10.5,11.7,12.5,13,14,15.6
