"","Mandarin","English","Hindi","Spanish","Arabic","Malay","Russian","Bengali","Portuguese","French","Hausa","Punjabi","Japanese","German","Persian"
"Bahrain",0,0,0,0,865862.7,0,0,0,0,0,0,0,0,0,0
"Saudi Arabia",0,0,0,0,19437398.4,0,0,0,0,0,0,0,0,0,0
"Oman",0,0,0,0,3038323,0,0,0,0,0,0,0,0,0,0
"Kuwait",0,0,0,0,2667785.6,0,0,0,0,0,0,0,0,0,0
"Mauritania",0,0,0,0,4257555.3,0,0,0,0,0,0,0,0,0,0
"Lebanon",0,2407920,0,0,4274058,0,0,0,0,2287524,0,0,0,0,0
"Jordan",0,4593897,0,0,6839802.2,0,0,0,0,0,0,0,0,0,0
"Algeria",0,3033328.2,0,0,25999956,0,0,0,0,14299975.8,0,0,0,0,0
"Palestine",0,0,0,0,1969373.1,0,0,0,0,0,0,0,0,0,0
"Yemen",0,2722077.9,0,0,16634920.5,0,0,0,0,0,0,0,0,0,0
"Mali",0,0,0,0,0,0,0,0,0,3448310.6,0,0,0,0,0
"Guinea",0,0,0,0,0,0,0,0,0,3300199.2,0,0,0,0,0
"Haiti",0,0,0,0,0,0,0,0,0,4775899.8,0,0,0,0,0
"Benin",0,0,0,0,0,0,0,0,0,4243046.5,0,0,0,0,0
"Burkina Faso",0,0,0,0,0,0,0,0,0,4598737,0,0,0,0,0
"Congo-Brazzaville",0,0,0,0,0,0,0,0,0,3298413.6,0,0,0,0,0
"Congo-Kinshasa",0,0,0,0,0,0,0,0,0,42067444,0,0,0,0,0
"Cote de Ivore",0,0,0,0,0,0,0,0,0,8898395,0,0,0,0,0
"Senegal",0,0,0,0,0,0,0,0,0,4988043.5,0,0,0,0,0
"Togo",0,0,0,0,0,0,0,0,0,3269873.1,0,0,0,0,0
"Somalia",0,0,0,0,4992602.7,0,0,0,0,0,0,0,0,0,0
